'time', 'Temp'
'0:36:56', 23.30
'0:36:58', 23.30
'0:37:0', 23.30
'0:37:2', 23.30
'0:37:4', 23.30
'0:37:6', 23.30
'0:37:9', 23.30
'0:37:11', 23.30
'0:37:13', 23.30
'0:37:15', 23.30
'0:37:17', 23.20
'0:37:19', 23.30
'0:37:21', 23.30
'0:37:23', 23.30
'0:37:26', 23.30
'0:37:28', 23.30
'0:37:30', 23.30
'0:37:32', 23.30
'0:37:34', 23.30
'0:37:36', 23.30
'0:37:38', 23.30
'0:37:41', 23.30
'0:37:43', 23.30
'0:37:45', 23.30
'0:37:47', 23.20
'0:37:49', 23.20
'0:37:51', 23.30
'0:37:53', 23.30
'0:37:55', 23.30
'0:37:58', 23.30
'0:38:0', 23.30
'0:38:2', 23.30
'0:38:4', 23.30
'0:38:6', 23.30
'0:38:8', 23.30
'0:38:10', 23.30
'0:38:12', 23.30
'0:38:15', 23.30
'0:38:17', 23.30
'0:38:19', 23.20
'0:38:21', 23.20
'0:38:23', 23.30
'0:38:25', 23.30
'0:38:27', 23.20
'0:38:30', 23.30
'0:38:32', 23.30
'0:38:34', 23.20
'0:38:36', 23.30
'0:38:38', 23.30
'0:38:40', 23.30
'0:38:42', 23.30
'0:38:44', 23.20
'0:38:47', 23.20
'0:38:49', 23.30
'0:38:51', 23.30
'0:38:53', 23.20
'0:38:55', 23.30
'0:38:57', 23.20
'0:38:59', 23.30
'0:39:2', 23.20
'0:39:4', 23.20
'0:39:6', 23.20
'0:39:8', 23.30
'0:39:10', 23.30
'0:39:12', 23.30
'0:39:14', 23.20
'0:39:16', 23.30
'0:39:19', 23.30
'0:39:21', 23.20
'0:39:23', 23.30
'0:39:25', 23.30
'0:39:27', 23.40
'0:39:29', 23.30
'0:39:31', 23.30
'0:39:33', 23.30
'0:39:36', 23.30
'0:39:38', 23.30
'0:39:40', 23.30
'0:39:42', 23.30
'0:39:44', 23.30
'0:39:46', 23.30
'0:39:48', 23.30
'0:39:51', 23.30
'0:39:53', 23.20
'0:39:55', 23.30
'0:39:57', 23.20
'0:39:59', 23.30
'0:40:1', 23.30
'0:40:3', 23.30
'0:40:5', 23.30
'0:40:8', 23.30
'0:40:10', 23.30
'0:40:12', 23.20
'0:40:14', 23.20
'0:40:16', 23.30
'0:40:18', 23.30
'0:40:20', 23.30
'0:40:22', 23.30
'0:40:25', 23.20
'0:40:27', 23.20
'0:40:29', 23.20
'0:40:31', 23.20
'0:40:33', 23.20
'0:40:35', 23.20
'0:40:37', 23.30
'0:40:40', 23.30
'0:40:42', 23.30
'0:40:44', 23.30
'0:40:46', 23.20
'0:40:48', 23.20
'0:40:50', 23.20
'0:40:52', 23.20
'0:40:54', 23.20
'0:40:57', 23.20
'0:40:59', 23.30
'0:41:1', 23.20
'0:41:3', 23.30
'0:41:5', 23.30
'0:41:7', 23.30
'0:41:9', 23.20
'0:41:11', 23.30
'0:41:14', 23.30
'0:41:16', 23.20
'0:41:18', 23.20
'0:41:20', 23.20
'0:41:22', 23.20
'0:41:24', 23.30
'0:41:26', 23.20
'0:41:29', 23.20
'0:41:31', 23.30
'0:41:33', 23.20
'0:41:35', 23.30
'0:41:37', 23.20
'0:41:39', 23.30
'0:41:41', 23.20
'0:41:43', 23.20
'0:41:46', 23.20
'0:41:48', 23.20
'0:41:50', 23.30
'0:41:52', 23.20
'0:41:54', 23.20
'0:41:56', 23.20
'0:41:58', 23.30
'0:42:1', 23.30
'0:42:3', 23.30
'0:42:5', 23.20
'0:42:7', 23.20
'0:42:9', 23.20
'0:42:11', 23.20
'0:42:13', 23.20
